index,dataset,prompt,iou,dice,precision,recall,gt_coverage
123,drywall,segment taping area,0.322215,0.487387,0.325647,0.968333,1.03
101,cracks,segment crack,0.327622,0.493548,0.416553,0.605458,6.92
227,cracks,segment crack,0.328399,0.494429,0.970447,0.331717,20.04
392,cracks,segment crack,0.333969,0.500714,0.365206,0.796107,7.58
54,cracks,segment crack,0.334131,0.500897,0.676629,0.397627,1.54
119,cracks,segment crack,0.334279,0.501064,0.334403,0.998894,0.66
98,drywall,segment taping area,0.335037,0.501915,0.336092,0.990725,2.63
208,drywall,segment taping area,0.365889,0.535752,0.596271,0.486387,2.91
180,cracks,segment crack,0.374112,0.544514,0.374338,0.998384,2.27
138,cracks,segment crack,0.375858,0.546362,0.650432,0.471001,11.86
288,drywall,segment taping area,0.376712,0.547264,0.406279,0.838095,1.54
19,cracks,segment crack,0.379450,0.550147,0.657576,0.472891,2.80
339,cracks,segment crack,0.380591,0.551345,0.456084,0.696905,2.88
370,cracks,segment crack,0.392206,0.563431,0.396892,0.970780,0.86
200,cracks,segment crack,0.392470,0.563703,0.417099,0.869224,9.88
287,cracks,segment crack,0.398499,0.569895,0.399212,0.995536,0.55
240,cracks,segment crack,0.399319,0.570734,0.519296,0.633482,2.08
67,cracks,segment crack,0.404826,0.576336,0.993532,0.405896,4.16
275,cracks,segment crack,0.407346,0.578885,0.995303,0.408130,4.69
106,cracks,segment crack,0.410162,0.581723,0.946253,0.419945,5.37
317,cracks,segment crack,0.414906,0.586478,0.866048,0.443358,4.37
6,cracks,segment crack,0.415009,0.586582,0.416681,0.990427,2.45
58,cracks,segment crack,0.415468,0.587039,0.935299,0.427762,6.81
264,cracks,segment crack,0.418616,0.590175,0.443372,0.882316,3.52
84,drywall,segment taping area,0.418703,0.590261,0.419037,0.998097,8.08
216,cracks,segment crack,0.420719,0.592262,0.842904,0.456515,4.01
116,cracks,segment crack,0.422272,0.593799,0.781312,0.478872,15.15
113,cracks,segment crack,0.423216,0.594732,0.998969,0.423401,7.82
245,drywall,segment taping area,0.424747,0.596242,0.424747,1.000000,2.62
105,drywall,segment taping area,0.427947,0.599388,0.481993,0.792381,1.54
212,cracks,segment crack,0.429083,0.600501,0.430625,0.991724,0.53
18,cracks,segment crack,0.431159,0.602531,0.906967,0.451110,4.66
328,cracks,segment crack,0.438029,0.609208,0.983273,0.441318,12.39
228,cracks,segment crack,0.444912,0.615832,0.526846,0.740988,1.43
78,cracks,segment crack,0.446308,0.617169,0.990070,0.448315,5.38
300,cracks,segment crack,0.446530,0.617381,0.622414,0.612429,1.81
87,cracks,segment crack,0.450636,0.621294,0.999422,0.450753,7.49
311,cracks,segment crack,0.451141,0.621774,0.947438,0.462722,3.78
44,cracks,segment crack,0.451839,0.622437,0.573297,0.680790,5.89
199,cracks,segment crack,0.457620,0.627900,0.468679,0.950966,3.92
246,drywall,segment taping area,0.459413,0.629586,0.459455,0.999801,8.60
365,cracks,segment crack,0.466306,0.636028,0.919422,0.486174,5.40
107,cracks,segment crack,0.467159,0.636821,0.482689,0.935563,1.19
391,cracks,segment crack,0.470693,0.640097,0.484366,0.943422,1.98
238,cracks,segment crack,0.477479,0.646343,0.579686,0.730321,1.86
198,cracks,segment crack,0.478582,0.647353,0.479765,0.994874,4.48
177,cracks,segment crack,0.480426,0.649037,0.954639,0.491649,2.31
388,cracks,segment crack,0.494635,0.661880,1.000000,0.494635,4.05
172,cracks,segment crack,0.495843,0.662961,0.826290,0.553544,2.10
9,cracks,segment crack,0.500369,0.666995,0.502491,0.991634,1.17
210,drywall,segment taping area,0.500866,0.667436,0.561246,0.823187,45.78
81,cracks,segment crack,0.501411,0.667920,0.509236,0.970267,1.61
182,cracks,segment crack,0.501585,0.668074,0.562248,0.822973,1.03
368,drywall,segment taping area,0.502484,0.668871,0.540822,0.876367,28.26
313,cracks,segment crack,0.502595,0.668969,0.524379,0.923653,4.40
274,drywall,segment taping area,0.503643,0.669897,0.513460,0.963427,1.91
159,cracks,segment crack,0.506667,0.672566,0.507275,0.997639,1.76
72,cracks,segment crack,0.508888,0.674521,0.527811,0.934186,3.11
234,cracks,segment crack,0.513650,0.678690,0.990987,0.516061,5.98
349,cracks,segment crack,0.523542,0.687270,0.913066,0.551009,5.54
141,cracks,segment crack,0.525695,0.689122,0.527292,0.994271,1.24
139,cracks,segment crack,0.534347,0.696514,0.577037,0.878384,4.91
79,cracks,segment crack,0.536178,0.698067,0.665931,0.733463,1.00
298,cracks,segment crack,0.542967,0.703796,0.989081,0.546242,4.09
390,cracks,segment crack,0.543817,0.704510,0.799613,0.629624,3.21
149,drywall,segment taping area,0.544125,0.704768,0.779107,0.643379,2.47
150,cracks,segment crack,0.547460,0.707560,0.793774,0.638239,2.11
329,cracks,segment crack,0.551159,0.710641,0.745508,0.678890,11.50
374,cracks,segment crack,0.555316,0.714087,0.998891,0.555658,10.29
373,cracks,segment crack,0.555584,0.714309,0.829513,0.627202,3.44
43,cracks,segment crack,0.559498,0.717536,0.619765,0.851932,1.24
83,drywall,segment taping area,0.560099,0.718030,0.639777,0.818094,39.46
137,cracks,segment crack,0.563303,0.720657,0.737856,0.704242,2.42
306,cracks,segment crack,0.565098,0.722125,0.852901,0.626122,3.86
342,cracks,segment crack,0.565688,0.722606,0.613094,0.879748,4.89
284,cracks,segment crack,0.566975,0.723655,0.694910,0.754881,1.49
134,cracks,segment crack,0.567880,0.724392,0.583482,0.955029,0.92
117,cracks,segment crack,0.569577,0.725771,0.571361,0.994546,0.90
205,cracks,segment crack,0.579787,0.734006,0.611574,0.917729,5.08
394,cracks,segment crack,0.580144,0.734293,0.783286,0.691068,3.70
281,cracks,segment crack,0.581336,0.735246,0.994055,0.583364,3.99
22,cracks,segment crack,0.581872,0.735675,0.952141,0.599402,13.48
327,cracks,segment crack,0.582082,0.735843,0.805187,0.677496,12.50
297,cracks,segment crack,0.582096,0.735854,0.647628,0.851909,1.57
341,cracks,segment crack,0.583192,0.736729,0.815406,0.671899,4.62
304,cracks,segment crack,0.583995,0.737370,0.589396,0.984552,1.19
257,cracks,segment crack,0.585209,0.738337,0.797659,0.687228,4.60
244,cracks,segment crack,0.594714,0.745856,0.641096,0.891542,0.96
183,cracks,segment crack,0.594860,0.745972,0.640624,0.892785,4.25
250,drywall,segment taping area,0.597113,0.747740,0.845814,0.670047,4.19
345,drywall,segment taping area,0.597915,0.748369,0.629466,0.922653,3.46
185,cracks,segment crack,0.601326,0.751035,0.637717,0.913327,1.24
70,cracks,segment crack,0.601749,0.751365,0.907923,0.640858,4.93
164,cracks,segment crack,0.602163,0.751688,0.786895,0.719496,2.23
336,drywall,segment taping area,0.604018,0.753131,0.896749,0.649165,4.90
270,cracks,segment crack,0.606149,0.754785,0.667052,0.869091,2.75
399,cracks,segment crack,0.608320,0.756466,0.666536,0.874449,8.53
82,drywall,segment taping area,0.609557,0.757422,0.637759,0.932361,11.29
17,cracks,segment crack,0.612132,0.759407,0.614108,0.994772,0.65
379,drywall,segment taping area,0.612343,0.759569,0.623951,0.970515,28.62
168,drywall,segment taping area,0.613783,0.760676,0.654011,0.908914,1.76
307,drywall,segment taping area,0.614642,0.761335,0.684285,0.857939,3.46
36,cracks,segment crack,0.615904,0.762302,0.803124,0.725430,10.14
292,cracks,segment crack,0.616254,0.762571,0.648874,0.924576,2.69
376,cracks,segment crack,0.618941,0.764625,0.626795,0.980159,7.11
387,cracks,segment crack,0.621345,0.766457,0.775866,0.757272,3.10
85,cracks,segment crack,0.622624,0.767429,0.695342,0.856190,2.31
338,drywall,segment taping area,0.623751,0.768284,0.664705,0.910102,1.91
299,cracks,segment crack,0.624773,0.769059,0.634885,0.975139,2.15
15,drywall,segment taping area,0.626513,0.770376,0.654617,0.935870,2.47
362,cracks,segment crack,0.627169,0.770872,0.995601,0.628912,3.34
272,drywall,segment taping area,0.627211,0.770903,0.990560,0.630983,10.11
130,drywall,segment taping area,0.627419,0.771060,0.635084,0.981128,2.12
179,cracks,segment crack,0.627576,0.771178,0.686423,0.879812,3.84
282,cracks,segment crack,0.628871,0.772156,0.683279,0.887611,1.49
140,cracks,segment crack,0.629304,0.772482,0.918561,0.666490,9.19
114,cracks,segment crack,0.629448,0.772591,0.678791,0.896470,3.60
148,cracks,segment crack,0.630151,0.773120,0.707518,0.852131,25.63
109,cracks,segment crack,0.631166,0.773883,0.695342,0.872425,1.53
154,cracks,segment crack,0.632405,0.774814,0.794609,0.755982,3.55
348,cracks,segment crack,0.632845,0.775144,0.797080,0.754383,3.75
266,cracks,segment crack,0.637449,0.778588,0.946848,0.661106,5.34
251,cracks,segment crack,0.638544,0.779404,0.713975,0.858034,2.15
49,cracks,segment crack,0.638600,0.779446,0.781381,0.777520,9.98
193,cracks,segment crack,0.639429,0.780063,0.670201,0.933005,4.27
268,drywall,segment taping area,0.639465,0.780090,0.690518,0.896365,8.11
289,cracks,segment crack,0.640494,0.780855,0.772997,0.788875,4.31
55,drywall,segment taping area,0.640598,0.780932,0.659314,0.957566,23.57
225,drywall,segment taping area,0.641194,0.781375,0.934039,0.671605,4.75
285,cracks,segment crack,0.642618,0.782431,0.644333,0.995874,3.67
7,cracks,segment crack,0.642650,0.782455,0.644466,0.995633,1.79
175,cracks,segment crack,0.643921,0.783396,0.831480,0.740569,15.93
186,cracks,segment crack,0.645775,0.784767,0.781715,0.787843,4.70
271,cracks,segment crack,0.646033,0.784957,0.652080,0.985847,6.68
24,cracks,segment crack,0.646337,0.785182,0.712340,0.874618,6.00
8,drywall,segment taping area,0.646642,0.785407,0.987348,0.652045,10.87
276,cracks,segment crack,0.647998,0.786407,0.806640,0.767163,8.21
118,drywall,segment taping area,0.650351,0.788137,0.673419,0.949964,23.57
316,cracks,segment crack,0.651209,0.788767,0.711760,0.884457,3.68
330,cracks,segment crack,0.651655,0.789094,0.727219,0.862477,1.73
13,drywall,segment taping area,0.652612,0.789795,0.988011,0.657822,54.53
381,cracks,segment crack,0.653348,0.790333,0.901334,0.703675,1.24
318,drywall,segment taping area,0.654511,0.791184,0.782360,0.800209,4.67
302,drywall,segment taping area,0.658511,0.794099,0.662486,0.990971,32.69
39,cracks,segment crack,0.660289,0.795390,0.681939,0.954124,3.16
162,cracks,segment crack,0.660655,0.795656,0.969447,0.674703,5.24
53,cracks,segment crack,0.661563,0.796314,0.728663,0.877813,4.12
163,cracks,segment crack,0.662175,0.796757,0.884603,0.724782,10.46
4,cracks,segment crack,0.663201,0.797499,0.707795,0.913242,12.64
239,cracks,segment crack,0.663424,0.797661,0.697605,0.931224,1.47
38,drywall,segment taping area,0.665541,0.799189,0.672984,0.983654,4.65
