index,dataset,prompt,iou,dice,precision,recall,gt_coverage
323,drywall,segment taping area,0.848872,0.918259,0.941949,0.895732,8.00
50,drywall,segment taping area,0.849955,0.918892,0.980938,0.864229,12.20
233,drywall,segment taping area,0.851231,0.919638,0.897196,0.943232,12.48
128,drywall,segment taping area,0.852074,0.920129,0.982187,0.865448,57.86
115,drywall,segment taping area,0.852219,0.920214,0.883004,0.960698,19.70
173,drywall,segment taping area,0.852409,0.920325,0.859976,0.989784,8.27
273,drywall,segment taping area,0.853499,0.920960,0.972392,0.874695,22.39
222,drywall,segment taping area,0.853940,0.921217,0.958495,0.886729,6.10
170,drywall,segment taping area,0.854374,0.921469,0.879551,0.967583,25.05
395,drywall,segment taping area,0.856289,0.922582,0.920584,0.924588,16.61
102,drywall,segment taping area,0.856780,0.922867,0.899166,0.947850,18.00
143,drywall,segment taping area,0.858394,0.923802,0.958410,0.891606,3.27
231,drywall,segment taping area,0.858963,0.924131,0.897691,0.952177,15.59
355,drywall,segment taping area,0.859950,0.924702,0.872630,0.983384,36.19
386,drywall,segment taping area,0.860506,0.925023,0.906148,0.944702,46.19
155,drywall,segment taping area,0.860929,0.925268,0.913070,0.937796,15.30
120,drywall,segment taping area,0.861752,0.925743,0.977812,0.878939,4.90
383,drywall,segment taping area,0.861794,0.925768,0.914316,0.937510,9.47
0,drywall,segment taping area,0.863806,0.926927,0.947598,0.907139,10.13
384,drywall,segment taping area,0.867617,0.929117,0.896566,0.964120,10.27
66,drywall,segment taping area,0.868485,0.929614,0.977970,0.885815,25.07
156,drywall,segment taping area,0.869433,0.930157,0.911544,0.949546,12.23
322,drywall,segment taping area,0.870577,0.930811,0.887480,0.978591,21.96
337,drywall,segment taping area,0.870924,0.931009,0.907265,0.956029,12.01
235,drywall,segment taping area,0.872030,0.931641,0.878746,0.991313,22.48
63,drywall,segment taping area,0.872786,0.932072,0.919443,0.945054,13.14
237,drywall,segment taping area,0.872814,0.932088,0.916204,0.948533,10.27
41,drywall,segment taping area,0.873003,0.932196,0.929260,0.935151,33.81
65,drywall,segment taping area,0.875572,0.933659,0.981125,0.890573,52.91
14,drywall,segment taping area,0.876179,0.934004,0.913841,0.955076,12.23
32,drywall,segment taping area,0.878194,0.935148,0.983278,0.891509,8.70
31,drywall,segment taping area,0.879025,0.935618,0.913942,0.958347,13.38
96,drywall,segment taping area,0.879331,0.935791,0.932095,0.939517,19.62
108,drywall,segment taping area,0.879868,0.936095,0.966196,0.907814,31.67
10,drywall,segment taping area,0.881262,0.936884,0.891138,0.987581,9.02
260,cracks,segment crack,0.882411,0.937533,0.977935,0.900337,4.35
16,drywall,segment taping area,0.883245,0.938003,0.967495,0.910256,12.80
42,drywall,segment taping area,0.884716,0.938832,0.990089,0.892622,12.73
309,drywall,segment taping area,0.888911,0.941189,0.979721,0.905574,11.80
401,drywall,segment taping area,0.888998,0.941237,0.917907,0.965784,64.14
220,drywall,segment taping area,0.890337,0.941988,0.944051,0.939934,20.21
