index,dataset,prompt,iou,dice,precision,recall,gt_coverage
254,cracks,segment crack,0.447176,0.617998,0.453316,0.970601,1.12
362,cracks,segment crack,0.447436,0.618246,0.994971,0.448450,3.34
238,cracks,segment crack,0.447528,0.618334,0.498795,0.813229,1.86
221,drywall,segment taping area,0.448373,0.619140,0.507806,0.793002,4.56
177,cracks,segment crack,0.456432,0.626781,0.951366,0.467336,2.31
299,cracks,segment crack,0.459150,0.629339,0.734403,0.550573,2.15
379,drywall,segment taping area,0.465306,0.635097,0.466831,0.993030,28.62
287,cracks,segment crack,0.465525,0.635301,0.475105,0.958482,0.55
57,cracks,segment crack,0.466083,0.635820,0.772940,0.540021,7.77
54,cracks,segment crack,0.467790,0.637407,0.468381,0.997310,1.54
101,cracks,segment crack,0.468441,0.638011,0.890158,0.497179,6.92
228,cracks,segment crack,0.473951,0.643102,0.512099,0.864172,1.43
72,cracks,segment crack,0.476152,0.645126,0.493535,0.931126,3.11
98,drywall,segment taping area,0.477004,0.645907,0.480038,0.986923,2.63
242,cracks,segment crack,0.483180,0.651546,0.708115,0.603346,1.31
266,cracks,segment crack,0.486335,0.654408,1.000000,0.486335,5.34
27,cracks,segment crack,0.487322,0.655302,0.656142,0.654463,10.21
6,cracks,segment crack,0.488306,0.656190,0.490475,0.991025,2.45
182,cracks,segment crack,0.491444,0.659018,0.550277,0.821319,1.03
152,cracks,segment crack,0.493419,0.660791,0.493419,1.000000,1.46
341,cracks,segment crack,0.493961,0.661277,0.911675,0.518789,4.62
149,drywall,segment taping area,0.495869,0.662985,0.761307,0.587154,2.47
176,drywall,segment taping area,0.501620,0.668105,0.503725,0.991741,28.62
304,cracks,segment crack,0.502744,0.669101,0.502744,1.000000,1.19
201,cracks,segment crack,0.504291,0.670470,0.504870,0.997729,2.26
204,cracks,segment crack,0.504539,0.670689,0.521130,0.940644,4.13
298,cracks,segment crack,0.507409,0.673220,0.993475,0.509105,4.09
200,cracks,segment crack,0.507936,0.673683,0.545820,0.879780,9.88
373,cracks,segment crack,0.510498,0.675933,0.837974,0.566406,3.44
56,cracks,segment crack,0.524644,0.688219,0.527363,0.990269,1.25
58,cracks,segment crack,0.525098,0.688609,0.938867,0.543687,6.81
